question,variant,answer,n_chunks,n_cited,invalid_citations,input_tokens,output_tokens,cost_usd,latency_ms
Will AI replace junior developers?,cot,"## Positions:

1. **AI will not fully replace junior developers; it is more of an aid or force multiplier, and experience still matters most.** [2, 5, 6]
2. **AI may replace some junior-level work or entry-level tasks, especially routine coding, typing, or simpler jobs, while humans still handle oversight or harder parts.** [1, 5, 7]
3. **AI is already reducing the value of junior developers and may make companies prefer people who can work without it.** [3, 8]
4. **Using AI too much can hurt developers’ thinking/problem-solving skills, so it should not replace those abilities.** [4, 2]

## Summary:

The comments show no single consensus. Several people argue that AI is mainly a productivity tool rather than a replacement: it can make developers faster, help them learn, and especially benefit experienced engineers, while humans still need to handle planning, maintenance, complexity, and knowing when the AI is wrong. Others think AI is already taking over some junior-style work, especially routine coding, typing, and simpler web or brochure-site tasks, with people still needed for guidance or exception handling. A more skeptical view is that AI is already lowering the value of junior developers and may increase demand for developers who can work without AI assistance. Another theme is that relying too much on AI could weaken critical thinking and problem-solving, so some commenters say it should be used as a supplement, not a substitute.",8,0,,1682,307,0.000000,3069
Will AI replace junior developers?,citation,"The comments do not give a single agreed answer, but the overall picture is that several people think AI will **replace some junior-development work or some junior dev jobs**, while others think it will **mainly change the work, not fully replace junior developers**. [2][5][6][7][8]

- **“Yes, at least a lot of junior work/jobs will be replaced”**: One commenter says AI can handle prototypes and, in simpler company contexts, could “replace its entire development team” or make “lower level jobs” vanish, while more complex work stays human-led. [7] Another says AI has “substantially raised the floor” and replaces “the typing part” of development, making people who know how to take over where the machine stops more valuable. [5] A different commenter predicts many AI users will flood the market and that developers who can build without AI will become especially valued, implying AI-heavy junior work may be displaced. [8] One commenter also says HN is full of people who think “developers just got replaced by AI,” though that is more a description of the discussion climate than a direct endorsement. [3]

- **“No, AI is more of an assistant than a replacement”**: Several commenters frame AI as an enhancement rather than a substitute. One says it is “not a replacement it’s an enhancement,” like a better Google, and argues it helps developers perform better rather than replace them. [6] Another says AI should “enhance productivity” but “shouldnt replace critical thinking and problem solving skills” of a good developer. [4] One more says AI can help with code, but once systems get complex, “code quality absolutely matters as a human will need to go through it.” [2] The same commenter [5] also says experienced developers benefit most, which suggests human developers remain necessary even if junior-style tasks are reduced. [5]

So, based on these comments, the forum leans toward **AI replacing parts of junior development and some lower-level jobs**, but not a clean or universal replacement of junior developers as a whole. [5][7][2][6]",8,5,,1673,443,0.000000,3683
Do people trust AI-generated code in production?,terse,"They mostly do not trust AI-generated code blindly in production. Several comments say it needs human checking, that blind trust is dangerous, and that AI code can pass tests yet still hide structural bugs until production. One comment says many people do ship it to production and review it less carefully because it boosts productivity, and another says AI-generated code is now a large part of how software is built.",8,0,,1413,81,0.000000,1637
Do people trust AI-generated code in production?,cot,"## Positions:
1. People trust AI-generated code too much and ship it to production, which can lead to serious bugs. [1]
2. AI-generated code can look like it works and pass tests, but still hide structural bugs that only show up in production. [2]
3. AI-generated code is not suitable for production without human checking; humans need to review and understand it. [3]
4. Blind trust in AI code is dangerous because the model lacks team context, so human context must be supplied. [4]
5. AI is now widely used in software development, but that does not necessarily mean it is trusted blindly. [6]
6. AI output often gets treated as lower-effort work, and that lower effort is part of why people may be wary of trusting it fully. [7], [8]

## Summary:
The comments suggest that many people do **not** trust AI-generated code blindly in production, or at least think they should not. Several commenters say AI code can appear correct, pass tests, and still contain hidden structural bugs, so human review and added context are needed before production use. Others say the problem is that some people **do** trust AI too much because it boosts productivity, leading them to ship code with less careful review. One comment notes that AI-generated code is now common in software teams, implying it is widely used, though not necessarily fully trusted. A related theme is that AI output is often associated with lower effort and less ownership, which makes people cautious about relying on it as-is.",8,7,,1447,316,0.000000,2970
Do people trust AI-generated code in production?,citation,"People in these comments generally **do not express strong trust in AI-generated code for production**; most say it needs careful human checking or is not suitable to ship blindly. [2][3][4][8]

**What the comments say:**
- Several commenters say AI code can look fine but still hide serious bugs, so they would not trust it blindly in production. [2][4]
- One commenter says AI is **“not suitable for generating production grade code without a human checking it”** and that the real bottleneck is human understanding and review. [3]
- Another says people sometimes **trust AI too much** and directly ship AI-generated code or review it less carefully, implying that this trust is a problem rather than a good practice. [1]
- One comment says AI-generated code is now widely used in major companies, but it does not say that this means people trust it; it only says it is part of how software is built now in those places. [6]

**Rough split in the comments:**
- **Against trusting AI-generated code blindly in production:** most of the comments, about 4–5 [1][2][3][4][8]
- **Suggesting it is already widely used in production environments:** 1 comment, but without explicitly endorsing trust [6]

So, based on these comments, the answer is: **people seem to use AI-generated code in production, but they generally do not trust it blindly and emphasize human review.** [1][2][3][4][6][8]",8,6,,1438,321,0.000000,2843
Has AI made hiring and interviewing worse?,terse,"Yes and no. Some commenters say AI has made interviewing worse by enabling cheating in interviews and pushing employers toward AI video interviews, code assessments, IQ tests, and personality tests, with one person saying their response rate has dropped and they rarely even talk to a human. Others argue AI is just changing hiring toward fewer, more highly skilled engineers and that companies will use AI to screen candidates or judge on output, not necessarily making hiring worse.",8,0,,1814,90,0.000000,1969
Has AI made hiring and interviewing worse?,cot,"## Positions:

1. **AI is making interviews worse because candidates can use it to cheat or game the process** — [1, 4]  
2. **AI is making hiring/interviewing worse by pushing companies toward AI-heavy, less human, more restrictive processes** — [5, 7]  
3. **AI is not necessarily making hiring worse; it may just change who gets hired, favoring stronger engineers and reducing low-skill or inflated candidates** — [3, 8]  
4. **AI is overhyped for programming and hiring will eventually swing back toward humans because AI’s gains are limited and need heavy review** — [6]  
5. **The effect is uncertain, but people should be open about their AI views since companies that disagree may self-select out** — [2]  

## Summary:

The comments do not agree on a single answer, but several people say AI is making hiring and interviewing worse in different ways. One common complaint is that candidates can use AI to cheat in interviews or appear stronger than they are, which can undermine the process ([1], [4]). Another complaint is that employers themselves are making things worse by becoming overly focused on AI usage, using more automated screening, and creating processes that feel less human or more frustrating ([5], [7]).

Others are less negative. One view is that AI is not really making hiring worse so much as changing the market: companies may hire fewer people, but they will want stronger engineers who can use AI well ([3], [8]). A related view is that AI’s actual programming value is limited, so companies will eventually realize the productivity gains are modest and rely more on humans again ([6]).

There is also some uncertainty in the discussion. One commenter says it is hard to know the long-term effect, but suggests being open about anti-AI views because companies that dislike those views may avoid interviewing you, which can save time if you would not want to work there anyway ([2]).",8,6,,1848,408,0.000000,3478
Has AI made hiring and interviewing worse?,citation,"The comments suggest **yes, for some people AI has made hiring and interviewing worse**, but they do not show a unanimous view. A few comments also argue that AI could improve filtering or that the bigger issue is broader labor-market change rather than AI alone. [1][4][5][7][8]

- **Worse interviewing/hiring:** One commenter says ChatGPT “trivially solved” a standard phone interview problem for new SWE hires, implying AI made that interview filter less effective. [4] Another says their job market response rate has fallen and that they now often face code assessments, IQ tests, personality tests, or AI video interviews, which they “kindly reject.” [7] A different commenter complains employers judge on AI usage rather than output, and says that produces worse results and is “stupid.” [5]

- **AI as a tool, not necessarily worse:** One commenter argues that AI can help candidates and employers, saying people who avoid AI in interviews might have a “better leg up” over those who do use it, suggesting AI is changing interview behavior but not clearly proving the process is worse overall. [1] Another says AI could actually help companies by screening candidates who are comfortable with it, and argues that if a company rejects you for your views on AI, it may save everyone time by preventing a mismatch. [2]

- **Hiring market shift, not just AI:** One commenter says the industry is moving toward hiring fewer, stronger engineers who can use AI well, and that AI doesn’t replace engineering skill. [8] Another says AI does a worse job programming than humans and that companies may eventually reduce AI use and rely more on humans, though they also admit no one knows for sure. [6] One commenter similarly says humans will still be needed and programmers are likely to remain in the loop. [3]

So, based on these comments, the forum leaned toward **AI having made parts of hiring and interviewing more frustrating or less reliable**, but there was also a counterview that AI may simply be changing the process, not universally worsening it. [4][5][7][1][2][6][8]",8,6,,1839,441,0.000000,3879
Is self-hosting your own services worth the effort?,terse,"The comments mostly say yes: people describe self-hosting as a hobby, useful for privacy and reducing dependence on big platforms, and note that it has improved a lot over the last decade. They also mention practical benefits like running custom services, integrating features, and self-hosting tools like GitHub Actions or repo platforms. One comment is more cautious, saying most people probably won’t make significant changes unless costs rise a lot, so it may not be worth it for everyone.",8,0,,1298,98,0.000000,1649
Is self-hosting your own services worth the effort?,cot,"## Positions:

1. **Self-hosting is worth it because it enables customization, integration, and building tools that fit personal needs better than existing options.** [2, 5, 7, 8]  
2. **Self-hosting has become much easier and more capable over time, with strong open-source alternatives now available.** [4, 5]  
3. **Self-hosting is useful for privacy, independence, and reducing reliance on third-party services.** [7, 8]  
4. **Self-hosting is not broadly worth the effort for most people; only a smaller set of people or projects will really change or benefit.** [1]  
5. **Self-hosting can be risky or cumbersome in some setups, especially for CI/CD or internet-facing integrations.** [3, 6]  

## Summary:

The comments suggest mixed views, but several people think self-hosting is worth the effort when you want control and flexibility. They describe it as a hobby and say it lets them build custom apps, dashboards, search tools, and media or library interfaces that better match their needs. A few also say self-hosting helps reduce dependence on big platforms and supports privacy or offline use.

Another cluster of comments says self-hosting has gotten much better and more practical over the last decade, with tools like Forgejo and other open-source platform alternatives making it more appealing than before. On the other hand, one comment argues that most people probably will not make major changes, and that only some open-source projects or large tech organizations will seriously optimize for self-hosting-related costs. A separate pair of comments adds that self-hosting can also bring complexity and security concerns, especially for CI/CD and anything exposed to the internet.

So, based on these comments, self-hosting seems worth it for people who value customization, privacy, and control, but not necessarily worth the effort for everyone.",8,1,,1332,393,0.000000,3173
Is self-hosting your own services worth the effort?,citation,"The comments mostly say that self-hosting **can be worth it for people who enjoy customization, privacy, or control**, but they also suggest it’s **not worth the effort for everyone**.

- Several commenters are clearly positive about it. One person calls self-hosting their hobby and says they run nearly a dozen services at home, have written their own media app and server dashboard, and keep building more custom tools because it lets them integrate features in ways others cannot [2]. Another says self-hosting has improved dramatically over the last decade and points to modern open-source PaaS tools as making it much more capable than before [4]. Others mention practical self-hosted setups like Forgejo with transferred actions [5], self-hosted GitHub Actions runners [3], and a self-hosted search service meant to reduce dependence on online services and improve privacy [7].

- But there’s also a cautionary side. One commenter says people generally won’t make significant changes unless prices rise much more, implying self-hosting effort won’t be broadly adopted just because of cost pressures [1]. Another points out security and complexity tradeoffs: self-hosting CI/CD can be risky if publicly hosted code can execute on your machine, and if you don’t self-host you may need extra tooling like tunnels to connect services securely [3][6]. Jenkins is also described as popular but complex, with one commenter recommending looking elsewhere [6].

So the thread leans **pro-self-hosting**, but in a “worth it if you value the control and are willing to deal with complexity” sense, not as a universal yes [2][4][5][7]. Roughly **5 comments are favorable or personally enthusiastic** about self-hosting [2][3][4][5][7][8], while **2 comments emphasize limits, complexity, or that most people won’t change much** [1][6].",8,5,,1323,387,0.000000,3480
What do people think about microservices these days?,terse,"People seem split: some treat microservices as a real architectural choice they have to justify and review, while others see them as part of a lot of corporate cruft and performative engineering. One comment says the real work is often political, not technical, and mentions “writing a specific microservice” as just one thing among many. Another says modern management cares more about time-to-market and developer salaries than hardware or efficiency, so there’s no strong pressure to optimize. No one gives a clear, direct consensus that microservices are universally good or bad.",8,0,,2351,114,0.000000,1741
What do people think about microservices these days?,cot,"## Positions:

1. Microservices are often just one example of corporate politics/performative work: the real issue is not the architecture itself, but the need to justify it, get it reviewed, and navigate bureaucracy. [1]  
2. Microservices/modern architecture choices are only driven by quality when there is a real external constraint or metric; without a hard business cost, companies often won’t optimize seriously. [4, 8]  
3. There’s a broader complaint that “modern tech” is often pushed without enough concrete cost pressure, so teams end up accepting heavier systems and weaker discipline. [4, 8]  

## Summary:

From these comments, people seem to think microservices are less about pure technical merit and more about org dynamics and incentives. One view is that choosing a microservice architecture is often tangled up with corporate bureaucracy and the need to sell the idea internally, rather than just building the best system. Another view is that when there’s a real measurable cost or constraint, people do optimize, but in many companies there isn’t enough direct pressure for that, so heavier architectures like microservices can persist without being strongly challenged. Overall, the comments suggest skepticism that microservices are judged purely on engineering grounds these days.",8,1,,2385,255,0.000000,2765
What do people think about microservices these days?,citation,"People in these comments don’t really discuss microservices as a standalone topic, but one commenter does mention them in passing. They say that, in bigger organizations, “good performance” is not just about writing “a specific microservice,” but about making a case for the architecture and getting it approved [1]. That suggests microservices are being treated as one architecture choice among others, not as something the commenter is especially praising or criticizing [1].

So, based on these comments, there isn’t a clear forum consensus about microservices “these days” [1]. The only direct mention is neutral and procedural: microservices matter as part of architecture decisions and organizational politics, especially in larger companies [1].",8,1,,2376,144,0.000000,1832
Which editor or IDE do developers actually prefer?,terse,"The comments disagree. Some developers say they still prefer JetBrains IDEs like PyCharm, IntelliJ, or Visual Studio Professional/Enterprise for indexing, navigation, and handling tricky project issues. Others say they’re moving away from traditional editors and IDEs, using VS Code or even vi only rarely, because AI tools or custom agentic stacks handle most of the work.",8,0,,1706,77,0.000000,1853
Which editor or IDE do developers actually prefer?,cot,"## Positions:
- **PyCharm is the main IDE, with AI tools used alongside it** — [2]
- **A custom agentic IDE / workspace built around worktrees and containerization is preferred** — [3]
- **Visual Studio Professional/Enterprise is preferred by some, especially for .NET work, despite annoyances** — [5]
- **JetBrains/IntelliJ-style IDEs are still preferred for indexing and navigation, though used less often now** — [6]
- **The future should be rethought IDEs with local models built in, rather than current editor-plugin style AI** — [7]
- **VS Code is used when an editor is needed, but only lightly and with fewer plugins** — [8]
- **Vim/vi is only a fallback or occasional command-line editor for some, not the main preference** — [8]

## Summary:
The comments don’t point to one universally preferred editor or IDE. A few people still clearly favor traditional IDEs: one commenter mainly uses **PyCharm** for Python work, another sticks with **Visual Studio Professional/Enterprise** for .NET, and another says they still like **IntelliJ/Idea products** because of indexing and navigation, even though they use them less than before.

At the same time, several comments suggest preferences are shifting away from classic editor-centered workflows. One person built their own **agentic IDE** around worktrees and containers, and another thinks the best path is **rethinking IDEs** so local AI models work inside them more naturally. For lighter use, one commenter says they now open **VS Code** only occasionally, with fewer plugins, while **Vim/vi** is described more as a backup or occasional pinch-hitter than a top choice.

So, based on these comments, developers seem to prefer a mix: some still like established IDEs such as **PyCharm, Visual Studio, and IntelliJ**, but there’s also a strong sentiment toward **custom or reimagined AI-aware development environments** rather than a single classic editor.",8,5,,1740,430,0.000000,3353
Which editor or IDE do developers actually prefer?,citation,"The comments don’t show a single clear “best” editor or IDE that developers as a whole prefer; they show a mix of habits and a lot of people using tools only when needed. [2][5][6][8]

What people said:
- IntelliJ/PyCharm-type IDEs were preferred by a few commenters for their indexing and navigation, especially when working in Python or Java-style workflows. [2][6]
- Visual Studio was preferred by one commenter working in .NET, though they also described it as sometimes frustrating and failure-prone. [5]
- VS Code was mentioned as the editor used when opening files manually, but one commenter said they had removed many plugins and used it less than before. [8]
- Vim/vi was not described as the main preference for most people; one commenter said they use it sometimes on the command line, but only for simple edits. [8]

So, based on these comments, the closest thing to a preference is that some developers still like full IDEs such as IntelliJ/PyCharm or Visual Studio for navigation and indexing, but several commenters said they increasingly rely less on manual editing or reach for lighter tools only occasionally. [2][5][6][8]",8,3,,1731,253,0.000000,2506
"Is Postgres enough, or do you need a separate search engine?",terse,The comments do not address whether Postgres alone is enough or whether a separate search engine is needed.,8,0,,1733,23,0.000000,1630
"Is Postgres enough, or do you need a separate search engine?",cot,"## Positions:
- A separate search engine is needed because Postgres/search engines alone aren’t enough for good discovery or relevant results. [2, 3, 5, 6, 8]
- Search quality has gotten so bad that people are relying on LLMs/ChatGPT to help do search-like work, though it still needs a lot of filtering. [3, 6, 8]
- The problem may not be the search engine itself so much as targeting/query setup; for search traffic, better keyword targeting and negatives can improve results. [7]
- The comments about search are really about general search behavior, not Postgres specifically; one person is building a dedicated full-text search system to complement or replace conventional search. [2]

## Summary:
Most of the comments lean toward the idea that Postgres by itself is not enough for serious search needs, especially for “discovery” use cases or finding relevant results across a large amount of content. Several people say modern search engines are disappointing, and that they increasingly use ChatGPT/LLMs to help sift through bad results, even though that still requires rejecting a lot of noise. One commenter is explicitly building a dedicated full-text search service because the goal is to reduce dependence on search engines and to support recall-style search, while noting it still falls short for discovery.

A smaller, different view is that the issue may be less about needing a whole separate search engine and more about how search is configured and targeted. In that comment, better keyword targeting, exact match, and negative keywords are presented as ways to improve the quality of search traffic.",8,2,,1767,329,0.000000,3063
"Is Postgres enough, or do you need a separate search engine?",citation,"The comments mostly do **not directly answer** whether Postgres is enough or whether you need a separate search engine [1][2][3][4][5][6][7][8].

What they **do** say is that many people are dissatisfied with general-purpose search engines and find results noisy or poor, sometimes preferring LLMs as a way to sift through bad results [3][5][6][8]. One commenter is even building a dedicated self-hosted search service, saying it works for “recall” searches but “falls short” for “discovery” searches [2]. Another commenter mentions wanting to build a search engine from scratch, but not in the context of Postgres vs. a separate search system [4].

So, based only on these comments, there isn’t a real discussion of Postgres as a search backend. The thread leans toward “search is hard and often needs something better than current tools,” but it does **not** establish whether Postgres alone is enough or whether a separate search engine is needed [2][3][5][6][8].",8,7,,1758,226,0.000000,2352
